entry_id,created_at,headword,encyclopedia_id,entry_text,topic
1782438974675,2026-06-26 01:56:15.424064+00,Alkabeuwavd,1782438524958,"<span>a town in Hrasingia.<i> </i>From Old Hrasingian <i>Hailskhabē Hawaurd</i> ""Hailskhabe's stone house"" &gt; Middle Hrasingian <i>Haçllkhabē Hawavvd</i> &gt; Ulkuple Hrasingian <i>Alkabeuwavd</i>.&nbsp;</span>",place
1782439017656,2026-06-26 01:56:58.392484+00,Apāklan,1782438524958,"<p><span style=""font-family:Book Antiqua, serif;font-size:small;"">a town in Inner Mewe. From South Middle Mangeodge <i>Aruvi Pakelonvi</i> ""grieving cottage"" the grammatical endings were later dropped: <i>Arupakelon</i> &gt; South Inner Mangeodge <i>Arpāklan</i> &gt; Inner Mewian <i>Apāklan</i>.</span></p>",place
1782439041817,2026-06-26 01:57:24.01172+00,Arulabaik,1782438524958,"<p><span style=""font-family:Book Antiqua, serif;font-size:small;"">a town in Outer Mewe. From Old Mangeodge <i>Arudvi Svalecozi Bauk</i> ""stone cottage near a barrow"" &gt; South Middle Mangeodge <i>Arusvlebauk</i> &gt; South Outer Mangeodge <i>Arulabauk</i> &gt; Outer Mewian <i>Arulabaik</i>.</span></p>",place
1782439070745,2026-06-26 01:57:53.643755+00,Auljare,1782438524958,"<p><span style=""font-family:Book Antiqua, serif;font-size:small;"">a mountain in Inner Mewe. From Proto-Mangeodge <i>*ōle jatjare</i> ""incredibly high rock"" &gt; Old Mangeodge <i>Aulejatjari</i> &gt; South Middle Mangeodge <i>Aulejanjari</i> &gt; South Inner Mangeodge <i>Aulējare</i> &gt; Inner Mewian <i>Auljare</i>). Nearby is a namesake town called <strong>Auljarin</strong> from Old Mangeodge <i>Aulejatjarins</i> ""town of Aulejatjari"" derived using the town placename suffix <i>-(a)ns</i> (Old Mangeodge <i>Aulejatjarins</i> &gt; South Middle Mangeodge <i>Aulejanjarins</i> &gt; South Inner Mangeodge <i>Aulējarin</i> &gt; Inner Mewian <i>Auljarin</i>). The nearby valley, which contains the holy city <strong>Jædewe</strong>, is named <strong>Janve jar Ananjare</strong> ""Ananjare Valley"" from Proto-Mangeodge <i>*āne jatjare</i> ""incredibly high valley"" - the adjective was course in reference to the nearby Auljare Mountain rather than describing the valley itself which indeed was low lying land. (Proto-Mangeodge <i>*āne jatjare</i> &gt; Old Mangeodge <i>Einjatjari</i> &gt; South Middle Mangeodge <i>Janjanjari</i> later affected by dissimilation to become <i>Ananjari</i> &gt; South Inner Mangeodge <i>Ananjare</i> &gt; Inner Mewian <i>Ananjare</i>). The large canal in the valley was named after it as <strong>Daurāja jar Ananjar</strong> ""Ananjar Canal"".</span></p>",place
1782439754011,2026-06-26 02:09:15.499553+00,Auljarin,1782438524958,"<p><span style=""font-family:Book Antiqua, serif;font-size:small;"">a town in Inner Mewe. From Old Mangeodge <i>Aulejatjarins</i> ""town of Aulejatjari"" derived using the town placename suffix <i>-(a)ns</i> attached to the Old Mangeodge name for the <strong>Auljare</strong> Mountain &gt; South Middle Mangeodge <i>Aulejanjarins</i> &gt; South Inner Mangeodge <i>Aulējarin</i> &gt; Inner Mewian <i>Auljarin</i>.&nbsp;</span></p>",place
1782439893910,2026-06-26 02:11:34.874652+00,avarudvi,1782438524958,"<p><span style=""font-family:Book Antiqua, serif;font-size:small;"">an <strong>Old Mangeodge</strong> word meaning ""small stone house, stone cottage"", from <strong>Proto-Mangeodge </strong>*<i>awarud</i>. Placenames with this element tend to occur with a noun and an adposition, an adjective or with a personal name. These names were originally the name of a single building but over time came to be used for the settlements that developed around it or for the general surrounding area. In the North Mangeodge languages the word became <i>awarrju</i> (Taile), <i>eæridh</i> (Outer Dawian) and <i>oworúdhu</i> (Inner Dawian) all which meant ""single room cottage for temporary shelter"". In Mid Middle Mangeodge the word became <i>avarúth</i> meaning ""dovecote"". Only Surwian preserves the word as <i>vareth</i> although all places where Mid Mangeodge languages are spoken preserve the word in placenames. In the West Middle Mangeodge the word became <i>ahrudv</i> with the meaning of ""cottage"" (made from any material). In Romoruzian only the rural Tûv, Nohiarbâtir and Northern dialects preserved the word as <i>ârûv</i>, with the additional meaning of ""home"" in the latter two, since cottages in the urban and wealthier parts of Ialuksrek were no longer built due to being seen as too poor and rustic. In Rovianzian the word became <i>ehrodv</i>. In Hrasingian the word became <strong>huwavd</strong> ""stone house"".</span><span style=""font-family:Book Antiqua, serif;""> </span><span style=""font-family:Book Antiqua, serif;font-size:small;"">For Mangeodge placenames derived from this root see <strong>Arulabaik, Elnuzbokehrud</strong>, <strong>Talbaikarud, Bwidumwirud, Tāztarud, Weorrydhessec, Rasjaf jar Ulaja, Warru.</strong></span></p><p><br>&nbsp;</p>",
1782440043669,2026-06-26 02:14:05.273752+00,Awarrju or Cnaljul,1782438524958,"<p><span style=""font-family:Book Antiqua, serif;font-size:small;"">a town in Tæbbiorkler. From North Middle Mangeodge <i>Abarrúdhbhi Cnjalúbhli</i> ""shelter where sloats are slit"" made from the supine <i>cnjalúbhi</i> ""having a slit throat, slain"" (cf <i>njalúthi</i> ""to mortally wound, to slit a throat, to gut"") + <i>-bhli</i> ""where X happens"". The story goes that a man found his wife having sex with another man in a shelter and in a fit of rage he slaughtered both of them.</span></p>",place
1782440307148,2026-06-26 02:18:28.034246+00,Âriulon,1782438524958,"<p><span style=""font-family:Book Antiqua, serif;font-size:small;"">[ˈhɑʁ.wilɔ̃] a town in Ialuksrek. From Classical Romoruzian <i>Ârûv Iulonv</i> ""abandoned cottage"".</span></p>",place
1782440382229,2026-06-26 02:19:44.777196+00,Âriulon,1782438524958,"<p><span style=""font-family:Book Antiqua, serif;font-size:small;"">[ˈhɑʁ.wiːlɔ̃] a town in Ialuksrek<i>. </i>From West Middle Mangeodge <i>Ahrudv Ieihlonv</i> ""burning cottage""&gt; Classical Romoruzian <i>Ârûv Îlonv</i> [ɑː.ʁyːlɔ̃] &gt; Southern Romoruzian <i>Ârûilon.</i>&nbsp;</span></p>",place
1782440464140,2026-06-26 02:21:07.53353+00,Ârûv Iall,1782438524958,"<p><span style=""font-family:Book Antiqua, serif;font-size:small;"">[ˈho.ʁuː hɔl] a town in Ialuksrek. The name in Classical Romoruzian means ""blue cottage"".&nbsp;</span></p>",place
1782440989526,2026-06-26 02:29:51.462481+00,Ârûv iar Sorn,1782438524958,"<p><span style=""font-family:Book Antiqua, serif;font-size:small;"">[ˈho.ʁuː hɔl] a town in Ialuk[ˈhɑ.ʁuː ʒə sɔ̃] a town in Ialuksrek. From Classical Romoruzian <i>Ârûv iar Sorn</i> ""Sorn's cottage"".srek. The name in Classical Romoruzian means ""blue cottage"".&nbsp;</span></p>",place
1782441005820,2026-06-26 02:30:07.597908+00,Ârûbas,1782438524958,"<p><span style=""font-family:Book Antiqua, serif;font-size:small;"">['hɑ.ʁuːbə] a town in Ialuksrek. From West Middle Mangeodge <i>Ahrudv Bas</i> ""big cottage"".&nbsp;</span></p>",place
1782441023794,2026-06-26 02:30:24.7553+00,Bralaedaras,1782438524958,"<p><span style=""font-family:Book Antiqua, serif;font-size:small;"">a sea off the coast of Səre. From Proto-Mangeodge <i>*braloe-dōrus</i> ""coast of the sea otter"" &gt; Boroweblian <i>*braloedōrus</i> loaned into Old Mangeodge/Mid Middle Mangeodge <i>Braloedorus</i> &gt; Mid Outer Mangeodge/Surwian <i>Bralaedaras</i>.&nbsp;</span></p>",place
1782441432180,2026-06-26 02:37:13.008987+00,Ausjari,1782438524958,<p>One of the most prominent figures in Mangeodge history.</p>,person
1782441576945,2026-06-26 02:39:39.305652+00,Bwidumwirud,1782438524958,"<p><span style=""font-family:Book Antiqua, serif;font-size:small;"">a town in Bi. From Boroweblian *<i>bādune awarud</i> ""daughter's stone cottage"" loaned into Old Mangeodge as <i>Baduneawarud</i> &gt; Mid Middle Mangeodge <i>Baduneawarud</i> &gt; Early Binerith <i>Bəduneəwərud</i> &gt; Binerith <i>Bwidumwirud</i>. For other placenames containing Old Mangeodge <i>avarudvi </i>see <strong>avarudvi.</strong></span></p>",place
1782441596003,2026-06-26 02:39:57.293405+00,Dairybe,1782438524958,"<p><span style=""font-family:Book Antiqua, serif;font-size:small;"">a town in Outer Mewe. From Proto-Mangeodge *<i>dōrus base</i> “big creek” &gt; Old Mangeodge <i>Daurusbasi</i> &gt; South Middle Mangeodge <i>Daurubasi</i> &gt; South Inner Mangeodge <i>Daurybe</i> &gt; Outer Mewian <i>Dairybe</i>.</span></p>",place
1782441651831,2026-06-26 02:40:52.868+00,Daurada,1782438524958,"<p><span style=""font-family:Book Antiqua, serif;font-size:small;"">a<strong> </strong>large stretch of coastline in Inner Mewe. From Proto-Mangeodge <i>*dōrosdō, </i>a reduplicative augmentative form</span><span style=""font-size:small;""> <i>*dōros-dō</i> </span><span style=""font-family:Book Antiqua, serif;font-size:small;"">""great coast""</span> <span style=""font-family:Book Antiqua, serif;font-size:small;"">&gt; Old Mangeodge <i>Daurosdo</i> &gt; South Middle Mangeodge <i>Daurodo</i> &gt; South Inner Mangeodge/Inner Mewian <i>Daurada.</i></span></p>",place
1782441675743,2026-06-26 02:41:17.319676+00,Daurāja jar Ananjar,1782438524958,"<p><span style=""font-family:Book Antiqua, serif;font-size:small;"">a canal in Mewe, the name of which in Inner Mewe means “Ananjar Canal”, named after the nearby mountain <strong>Ananjar</strong>.</span></p>",place
1782441698283,2026-06-26 02:41:39.545918+00,Daurositbi,1782438524958,"<p><span style=""font-family:Book Antiqua, serif;font-size:small;"">The Old Nusibara name for the stretch of sea between the Daurzes Sea and the Sevves Sea. Cf <strong>Daurosozi Atobim</strong></span></p>",place
